code,location,registered,envelopes,valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana
531669,Otročiněves,411,293,293,34,0,0,11,0,20,38,7,2,2,1,2,42
534285,Podbrdy,176,122,122,12,0,0,7,0,9,22,1,0,3,0,0,13
531685,Podluhy,535,337,334,44,0,0,32,0,12,41,3,5,2,0,0,39
531693,Praskolesy,690,465,464,58,1,0,42,0,23,45,6,4,14,0,2,60
531715,Rpety,403,259,259,34,2,0,20,0,9,27,3,3,5,0,0,27
533963,Skřipel,100,60,60,7,0,0,3,0,1,0,0,0,0,0,0,9
531740,Skuhrov,384,259,259,33,0,0,24,0,23,19,6,1,5,0,2,27
531758,Srbsko,411,271,270,53,0,0,15,0,25,12,5,3,3,1,0,34
531766,Stašov,362,220,220,20,1,0,29,0,9,22,1,2,2,0,0,19
531782,Suchomasty,360,238,236,23,1,0,12,0,5,45,5,2,2,0,0,28
531791,Svatá,407,288,287,31,0,0,23,0,14,32,0,1,3,0,1,33
531804,Svatý Jan pod Skalou,132,98,94,15,0,0,6,0,8,3,2,0,1,0,2,14
531812,Svinaře,524,372,372,71,0,0,8,0,22,17,10,4,10,2,1,71
531839,Tetín,691,484,480,69,1,0,37,1,39,36,3,0,5,0,0,63
531847,Tlustice,753,505,503,60,1,0,32,1,21,65,5,3,8,0,1,54
531855,Tmaň,891,502,499,55,3,0,36,1,28,44,10,6,15,0,1,45
534463,Točník,195,129,127,13,0,0,8,0,5,6,2,1,4,0,0,12
533106,Trubín,337,242,238,51,0,5,3,0,17,21,1,0,9,1,0,21
531880,Trubská,158,106,106,10,0,0,6,0,6,16,0,1,1,0,0,16
531901,Újezd,503,367,363,53,0,0,24,0,28,30,1,5,2,0,1,35
531910,Velký Chlumec,344,236,235,31,1,0,15,0,15,19,2,11,0,1,2,38
534234,Vinařice,79,58,58,8,0,0,5,0,2,6,0,0,0,0,0,8
534048,Vižina,217,159,159,31,0,0,9,0,8,12,5,0,3,0,0,12
531944,Vráž,907,600,598,83,1,0,45,0,34,55,6,3,9,2,1,82
531952,Všeradice,344,226,226,27,0,0,14,0,8,18,2,2,4,0,1,30
531961,Vysoký Újezd,580,373,370,58,0,1,20,0,24,23,4,4,8,0,0,77
531979,Zadní Třebaň,663,497,490,69,1,1,33,0,33,22,6,8,15,1,1,69
531995,Zaječov,1181,768,763,94,2,0,53,1,27,119,13,5,9,1,0,79
532002,Záluží,392,228,227,22,0,1,16,0,12,39,3,2,0,0,0,15
532011,Zdice,3218,1958,1945,268,0,0,212,3,91,183,29,19,25,0,7,190
532029,Žebrák,1644,1105,1096,129,3,2,77,1,37,125,19,16,27,3,0,123
599417,Železná,207,146,146,21,0,0,5,0,3,20,0,0,2,0,1,21
